id,company,category,method,question,answer,judge_score,judge_reason,pass,company_accuracy,avg_chunk_score,correct_chunks,retrieval_time,rerank_time,generation_time,total_time
1,Microsoft,financial_metrics,vector,"What was Microsofts total revenue for the fiscal year ended June 30, 2025?","For Microsoft, the total revenue for the fiscal year ended June 30, 2025, was **$281,724 million** (or $281.724 billion). This figure is explicitly stated in Source 3.",5,Exact figure from Source 3.,True,1.0,0.7896,5,30.4258,0.0,2.5557,32.9815
1,Microsoft,financial_metrics,vectorless,"What was Microsofts total revenue for the fiscal year ended June 30, 2025?","This information was not found in the retrieved sections. The context only confirms that Microsoft's Form 10-K covers the fiscal year ended June 30, 2025, but does not provide its total revenue.",5,Context confirms 10-K but lacks revenue data,True,0.8,0.1921,4,0.8173,8.4322,1.2122,10.4617
1,Microsoft,financial_metrics,hybrid,"What was Microsofts total revenue for the fiscal year ended June 30, 2025?","This information was not found in the retrieved sections. The context only provides Microsoft's **Microsoft Cloud revenue** ($168.9 billion) and **Productivity and Business Processes revenue** ($120.81 billion) for fiscal year 2025, but not the total revenue.",3,"Partial data, total revenue not explicitly stated",True,0.8,0.7204,4,9.3209,7.798,0.8281,10.149
2,Microsoft,financial_metrics,vector,"What was Microsofts total operating income for the fiscal year ended June 30, 2025?","This information was not found in the retrieved sections. The provided context for Microsoft includes Microsoft Cloud revenue, Productivity and Business Processes revenue, cost of revenue, operating expenses, and net income, but not the total operating income for the fiscal year ended June 30, 2025.",5,Information not found in provided context.,True,0.8,0.7197,4,8.4183,0.0,0.8531,9.2714
2,Microsoft,financial_metrics,vectorless,"What was Microsofts total operating income for the fiscal year ended June 30, 2025?","This information was not found in the retrieved sections. The context only provides Microsoft's U.S. and foreign income before income taxes for fiscal years 2025 and 2024, not the total operating income.",5,Context lacks total operating income data,True,0.8,0.127,4,0.4957,6.7818,0.7171,7.9946
2,Microsoft,financial_metrics,hybrid,"What was Microsofts total operating income for the fiscal year ended June 30, 2025?","This information was not found in the retrieved sections. The provided context for Microsoft includes revenue, cost of revenue, and operating expenses for the Productivity and Business Processes segment, but not the total operating income for the fiscal year ended June 30, 2025.",5,Information not found in provided context.,True,0.6,0.5299,3,8.626,7.7335,0.8472,9.4732
3,Microsoft,financial_metrics,vector,What was Microsofts diluted earnings per share for the fiscal year 2025?,"Microsoft's diluted earnings per share for the fiscal year 2025 was **$11.82**.

This information was found in Source 2 (Microsoft, Page 70).",2,Wrong fiscal year in answer,False,0.4,0.1275,2,9.1675,0.0,1.0001,10.1676
3,Microsoft,financial_metrics,vectorless,What was Microsofts diluted earnings per share for the fiscal year 2025?,This information was not found in the retrieved sections. The context only provides Microsoft's diluted earnings per share for the fiscal years 2023 and 2024.,5,Correctly identified missing 2025 data in context.,True,0.6,0.0945,3,0.597,9.4038,0.885,10.8858
3,Microsoft,financial_metrics,hybrid,What was Microsofts diluted earnings per share for the fiscal year 2025?,Microsoft's diluted earnings per share for the fiscal year 2025 was **$13.64**. This is stated in Source 4 and Source 5.,5,Exact figure supported by Source 2.,True,0.8,0.0991,4,10.6157,8.3108,0.9413,11.557
4,Microsoft,financial_metrics,vector,What was the percentage increase in total cost of revenue for fiscal year 2025 compared to 2024?,The percentage increase in total cost of revenue for Microsoft in fiscal year 2025 compared to 2024 was **14%**.,2,Wrong company and unsupported figure,False,0.4,0.9601,2,8.1942,0.0,0.6626,8.8568
4,Microsoft,financial_metrics,vectorless,What was the percentage increase in total cost of revenue for fiscal year 2025 compared to 2024?,This information was not found in the retrieved sections.,5,No relevant data found in context.,True,0.4,0.8265,2,0.5748,3.9287,0.5652,5.0687
4,Microsoft,financial_metrics,hybrid,What was the percentage increase in total cost of revenue for fiscal year 2025 compared to 2024?,The percentage increase in total cost of revenue for Microsoft in fiscal year 2025 compared to 2024 was **14%**.,2,Wrong company and unsupported figure,False,0.4,0.9601,2,8.6529,7.6276,0.7298,9.3827
5,Microsoft,financial_metrics,vector,How much was Microsofts research and development expense as a percentage of revenue in fiscal year 2025?,"Microsoft's research and development expense as a percentage of revenue in fiscal year 2025 was **12%**.

(Source: Microsoft, Page 40)",5,Exact figure supported by context.,True,0.8,0.6646,4,8.2349,0.0,1.367,9.6019
5,Microsoft,financial_metrics,vectorless,How much was Microsofts research and development expense as a percentage of revenue in fiscal year 2025?,"Microsoft's research and development expense as a percentage of revenue in fiscal year 2025 was **12%**.

(Source: Microsoft, Page 40)",5,Exact figure supported by context.,True,0.4,0.4221,2,0.5668,8.1488,1.1199,9.8355
5,Microsoft,financial_metrics,hybrid,How much was Microsofts research and development expense as a percentage of revenue in fiscal year 2025?,Microsoft's research and development expense as a percentage of revenue in fiscal year 2025 was 12%.,5,Exact match from Source 2.,True,0.6,0.6071,3,8.6082,7.5743,0.7389,9.3471
6,Microsoft,financial_metrics,vector,How much did total revenue increase in dollars from fiscal year 2024 to 2025?,"For **Microsoft**, the increase in total revenue from fiscal year 2024 to 2025 was **$14.0 billion** (from the Productivity and Business Processes segment).

For **Coca-Cola**, the increase in net operating revenues from 2024 to 2025 was **$880 million**.

For **Netflix**, the increase in total U.S. revenues from 2024 to 2025 was **$2.4 billion** ($18.5B - $16.1B).",3,"Incomplete, only partial segment data",True,0.4,0.9045,2,8.4709,0.0,2.4556,10.9265
6,Microsoft,financial_metrics,vectorless,How much did total revenue increase in dollars from fiscal year 2024 to 2025?,This information was not found in the retrieved sections.,1,Answer incorrect; data exists in context.,False,0.8,0.6259,4,0.5642,7.6064,0.6555,8.8261
6,Microsoft,financial_metrics,hybrid,How much did total revenue increase in dollars from fiscal year 2024 to 2025?,"The total revenue increase in dollars from fiscal year 2024 to 2025 was **$14.0 billion for Microsoft** (from its Productivity and Business Processes segment).

For Coca-Cola, net operating revenues increased by **$880 million** from 2024 to 2025.

This information was not found in the retrieved sections for Netflix.",3,"Partial, segment-only for Microsoft",True,0.4,0.8004,2,7.1629,6.1563,0.8662,8.0291
7,Microsoft,financial_metrics,vector,What was the specific amount of Microsofts U.S. income before income taxes in fiscal year 2025?,"For Microsoft, the U.S. income before income taxes in fiscal year 2025 was **$69.2 billion**. This figure is explicitly stated in Source 1.",5,Exact figure from Source 1.,True,0.6,0.587,3,9.0476,0.0,1.3752,10.4228
7,Microsoft,financial_metrics,vectorless,What was the specific amount of Microsofts U.S. income before income taxes in fiscal year 2025?,"For Microsoft, the U.S. income before income taxes in fiscal year 2025 was **$69.2 billion**. This figure is explicitly stated in the provided context.",5,Exact figure from Microsoft's 10-K.,True,0.4,0.3587,2,0.563,8.8793,0.7772,10.2195
