id,company,category,method,question,answer,judge_score,judge_reason,pass,company_accuracy,avg_chunk_score,correct_chunks,retrieval_time,rerank_time,generation_time,total_time,answer_relevancy,faithfulness,context_precision,context_recall,contextual_relevancy
1,Amazon,business_operations,vector,"Regarding the subsidiary dedicated to cloud computing and on-demand technology provisioning, what was the exact gigawatt increment in energy infrastructure installed during the latest fiscal year, and what is the trajectory for this specific resource metric by the conclusion of 2027?","For **Amazon**, its subsidiary **AWS** added **3.9 gigawatts (GW)** of new power capacity in 2025 and expects to **double total power capacity by the end of 2027**.",5,Exact figures and trajectory match context.,True,0.2,0.1749,1,19.193,0.0,1.6223,20.8153,0.8255018642824538,1.0,0.9999999999,1.0,0.9999999999
1,Amazon,business_operations,vectorless,"Regarding the subsidiary dedicated to cloud computing and on-demand technology provisioning, what was the exact gigawatt increment in energy infrastructure installed during the latest fiscal year, and what is the trajectory for this specific resource metric by the conclusion of 2027?",This information was not found in the retrieved sections. The context for Reliance mentions a dedicated cloud region and infrastructure at Jamnagar but does not provide exact gigawatt increments or a trajectory for energy infrastructure by the end of 2027.,5,Information not found in context,True,0.0,0.0286,0,0.5774,5.8845,1.1014,7.5633,0.0,0.75,0.0,0.0,0.0
1,Amazon,business_operations,hybrid,"Regarding the subsidiary dedicated to cloud computing and on-demand technology provisioning, what was the exact gigawatt increment in energy infrastructure installed during the latest fiscal year, and what is the trajectory for this specific resource metric by the conclusion of 2027?","For **Amazon**, its cloud computing subsidiary **AWS** added **3.9 gigawatts (GW)** of new power capacity in **2025** and expects to **double its total power capacity by the end of 2027**.",5,Exact figures and trajectory match context.,True,0.2,0.1615,1,7.2502,6.2183,1.324,8.5742,0.8214624915548686,0.6666666666666666,0.9999999999,1.0,0.9999999999
2,Amazon,financial_metrics,vector,"In the third quarter of the most recent fiscal cycle, the e-commerce giant recorded a significant financial hit under 'Other operating expense (income), net' to resolve a legal dispute with a major federal consumer protection agency. What was the exact monetary value of this regulatory resolution?","For Amazon, in Q3 2025, the company recorded a $2.5 billion expense related to the settlement of a lawsuit with the FTC, recorded under ""Other operating expense (income), net."" This charge impacted the North America segment.",5,Exact figure and context match sources.,True,1.0,0.1502,5,9.2587,0.0,1.5233,10.782,0.8517625925648461,1.0,0.49999999995,1.0,0.49999999995
2,Amazon,financial_metrics,vectorless,"In the third quarter of the most recent fiscal cycle, the e-commerce giant recorded a significant financial hit under 'Other operating expense (income), net' to resolve a legal dispute with a major federal consumer protection agency. What was the exact monetary value of this regulatory resolution?","For Amazon, in Q3 2025, the company recorded a $2.5 billion expense related to the settlement of a lawsuit with the FTC, recorded under ""Other operating expense (income), net."" This information is explicitly stated in the provided context.",5,Exact figure and context match.,True,0.8,0.1243,4,0.5129,5.9861,1.3704,7.8694,0.850294520541694,0.75,0.49999999995,1.0,0.49999999995
2,Amazon,financial_metrics,hybrid,"In the third quarter of the most recent fiscal cycle, the e-commerce giant recorded a significant financial hit under 'Other operating expense (income), net' to resolve a legal dispute with a major federal consumer protection agency. What was the exact monetary value of this regulatory resolution?","For Amazon, in Q3 2025, the company recorded a $2.5 billion expense related to the settlement of a lawsuit with the FTC, recorded under ""Other operating expense (income), net."" This information is explicitly stated in Source 2.",5,Exact figure and source match.,True,0.8,0.1302,4,6.6804,5.7829,1.4327,8.1131,0.8503821538335804,0.75,0.49999999995,1.0,0.49999999995
3,Amazon,financial_metrics,vector,"Did the Seattle-based retailer adjust the estimated operational longevity of its computing hardware and network infrastructure during the periods discussed, and what were the specific year-over-year modifications to these timeframes?","For **Amazon**, the Seattle-based retailer, the estimated useful lives of its computing hardware (servers) and network infrastructure were adjusted as follows:
- Effective **January 1, 2024**, the useful life for servers was changed from **five to six years**.
- Effective **January 1, 2025**, the useful life for a subset of servers and networking equipment was changed from **six back to five years**.

These modifications were explicitly stated in the provided context.",5,Exact figures and dates from context.,True,0.6,0.1085,3,9.9787,0.0,2.7207,12.6994,0.8733839116463878,0.8,0.3333333333,1.0,0.3333333333
3,Amazon,financial_metrics,vectorless,"Did the Seattle-based retailer adjust the estimated operational longevity of its computing hardware and network infrastructure during the periods discussed, and what were the specific year-over-year modifications to these timeframes?","For **Amazon**, the Seattle-based retailer, the company adjusted the estimated useful lives of a subset of its servers and networking equipment from **six years to five years**, effective **January 1, 2025**. This change was due to the increased pace of technology development, particularly in AI and machine learning.",5,Exact match with context and specifics.,True,0.2,0.0004,1,0.4894,5.5223,1.0399,7.0516,0.8432955528478191,0.8,0.0,0.5,0.0
3,Amazon,financial_metrics,hybrid,"Did the Seattle-based retailer adjust the estimated operational longevity of its computing hardware and network infrastructure during the periods discussed, and what were the specific year-over-year modifications to these timeframes?","For **Amazon**, the Seattle-based retailer, yes, it adjusted the estimated useful lives of its computing hardware and network infrastructure.

- Effective **January 1, 2024**, it changed the estimate for servers from **five to six years**.
- Effective **January 1, 2025**, it changed the estimate for a subset of servers and networking equipment from **six to five years**.",5,Exact figures and dates match context.,True,0.4,0.0831,2,9.818,8.8334,1.0801,10.8981,0.8975324899646339,,0.49999999995,,0.49999999995
4,Amazon,strategic_development,vector,"Which major aviation enterprise, recognized globally by gross revenue, committed to outfitting a fleet of 500 of its aircraft by 2028 with the upcoming low Earth orbit broadband constellation developed by the company?","Delta Airlines, the highest grossing airline in the world, has committed to outfitting 500 of its aircraft by 2028 with Amazon's upcoming low Earth orbit broadband constellation, Amazon Leo. This information refers to Amazon.",5,Exact match with context and figures.,True,1.0,0.2047,5,5.8556,0.0,1.4135,7.2691,0.9178510773940437,,0.9999999999,,0.9999999999
